20.43584	333.44476	 2.51769	 1.48310	2.58065e+21	2010.46270	00002	00058
27.88137	304.29157	 5.42028	27.43200	1.02181e+22	2010.47091	00005	00057
18.44044	274.40073	 2.32823	33.74760	2.07140e+21	2010.47912	00008	00068
15.24065	198.76689	 3.61614	-28.28240	4.57604e+21	2010.48186	00009	00066
18.98189	180.26156	 5.19191	10.66840	1.58981e+21	2010.48460	00010	00072
-22.05981	201.17345	 3.48334	-148.38500	2.47143e+21	2010.49281	00013	00067
18.09704	151.14007	 2.54352	 6.59993	4.72263e+21	2010.50924	00019	00083
19.02219	101.40953	 2.11805	29.90960	2.58067e+21	2010.51745	00022	00087
-20.16299	-21.90861	 1.87435	-163.19400	2.44232e+21	2010.52567	00025	00089
19.78650	335.22781	 8.31724	16.29320	2.87372e+22	2010.53114	00027	00086
-22.98929	202.96211	 4.68274	171.79900	3.91049e+22	2010.55578	00036	00092
31.96328	227.74405	 1.96347	-5.65086	8.75147e+20	2010.56126	00038	00101
22.60054	150.24302	 2.66004	29.73950	5.21157e+21	2010.56400	00039	00098
14.45621	97.48665	 2.28799	-24.52710	1.74484e+21	2010.57769	00044	00105
16.11996	76.08186	 9.44116	35.57770	1.96598e+22	2010.58316	00046	00104
25.69862	94.54108	 1.49210	-21.47920	1.18574e+21	2010.58864	00048	00113
24.93486	106.09499	 2.99797	32.69050	8.04994e+21	2010.59411	00050	00107
-16.40484	 5.21845	 7.00185	158.34700	8.80402e+21	2010.59685	00051	00114
14.68831	-11.80241	 3.32485	-24.92710	2.34196e+22	2010.59959	00052	00115
21.80107	374.76279	 4.06681	18.95470	7.97701e+21	2010.60507	00054	00116
14.33590	304.01058	 2.84353	-7.12792	5.62159e+21	2010.62423	00061	00131
26.75841	103.21071	 4.21376	20.99210	1.15370e+22	2010.66530	00076	00146
20.95991	58.93028	 2.59716	12.90410	1.84595e+21	2010.66804	00077	00154
26.34910	84.53920	 2.46055	 7.69879	5.66218e+21	2010.67351	00079	00155
 1.66203	 7.57885	 1.66276	37.65490	6.50103e+20	2010.67625	00080	00166
12.82547	441.66834	 1.82611	-173.39400	7.01033e+21	2010.67899	00081	00145
-32.96174	306.80706	 1.13124	141.20100	1.16324e+21	2010.68994	00085	00173
21.60397	315.00087	 1.73787	-25.64950	9.05636e+20	2010.69268	00086	00178
13.06210	247.96756	 2.11940	-5.28089	5.81514e+20	2010.69815	00088	00176
-20.49221	206.94784	11.32590	-172.14100	3.35874e+22	2010.70910	00092	00175
-30.76209	135.34894	10.62860	169.96900	3.37239e+22	2010.72279	00097	00185
21.68945	65.18796	 6.62373	27.71830	2.18997e+22	2010.73922	00103	00187
-15.20014	62.71064	 2.46283	163.61200	1.20114e+21	2010.74470	00105	00201
23.82443	-18.79697	 4.68001	11.02130	5.88858e+21	2010.75291	00108	00198
-31.98697	350.43006	 1.30405	118.10900	6.29883e+20	2010.75838	00110	00206
21.02517	320.38645	 2.20949	 4.92550	4.31899e+20	2010.76112	00111	00208
-20.78719	246.27464	 1.86897	172.06000	1.59561e+21	2010.78576	00120	00219
22.35293	176.32860	 1.98805	-5.11973	6.73603e+20	2010.79398	00123	00221
